"Index","Mean","SD","Min","Max","Obs"
"FCI_COMP_AVG",0.003,0.942,-2.09,2.4,360
"FCI_ENDO_AVG",0.001,0.936,-1.95,1.83,360
"FCI_EXO_AVG",0,0.905,-2.47,2.69,360
"FCI_RATES_AVG",0.002,0.89,-3.05,2.21,360
"FCI_BANKING_AVG",0.002,0.944,-2.22,2.04,360
"FCI_EXTERNAL_AVG",0,0.924,-2.09,2.33,360
"FCI_exTPM_AVG",0.003,0.941,-1.98,2.38,360
"FCI_PURIFIED_AVG",-0.001,0.966,-2.22,3.09,360
"FCI_exCredit_AVG",0.001,0.876,-2.07,2.41,360
"FCI_ENDO_exCredit_AVG",0.001,0.867,-1.92,1.82,360
"FCI_exNPL_AVG",0,0.718,-1.63,2,360
"FCI_ENDO_exCredit_exTCN_AVG",0.001,0.854,-2.09,1.74,360
