"variable","loading_pre","loading_post","abs_diff","pct_change","sign_change","direction","expected_sign","rationale","sign_pre","sign_post","sign_flipped","consistent_pre","consistent_post","issue_category"
"Spread_activas_pasivas",0.388364808134468,-0.279972791355837,0.668337599490305,-172.090154795616,TRUE,"Decreased",1,"Higher spread = tighter",1,-1,TRUE,TRUE,FALSE,"SIGN FLIP: Post-IT deviates"
"Commodities",0.36799912135953,-0.292485441679897,0.660484563039427,-179.479929354,TRUE,"Decreased",-1,"Higher prices = looser (soy/beef exporter)",1,-1,TRUE,FALSE,TRUE,"SIGN FLIP: Pre-IT deviates"
"TCN",-0.16295633181976,0.409001861698786,0.571958193518546,350.988628138223,TRUE,"Increased",1,"Depreciation = tighter (net importer)",-1,1,TRUE,FALSE,TRUE,"SIGN FLIP: Pre-IT deviates"
"TPM",0.372761535418839,0.0848100547755447,0.287951480643294,-77.2481743106216,FALSE,"Decreased",1,"Higher rates = tighter",1,1,FALSE,TRUE,TRUE,"No issue"
"FFER",0.177050522024305,0.386130345236394,0.209079823212089,118.090486727504,FALSE,"Increased",1,"Higher US rates = tighter",1,1,FALSE,TRUE,TRUE,"No issue"
"Morosidad",0.352670707676052,0.204998535105896,0.147672172570156,-41.8725370029317,FALSE,"Decreased",1,"Higher NPL = tighter",1,1,FALSE,TRUE,TRUE,"No issue"
"Crecimiento_creditos",0.222033412850828,0.122154491389247,0.0998789214615811,-44.9837347357643,FALSE,"Decreased",-1,"Higher growth = looser",1,1,FALSE,FALSE,FALSE,"Both periods: unexpected sign"
"Ratio_Cred_Depo",-0.283091963448455,-0.371695607504058,0.0886036440556032,-31.2985373997507,FALSE,"Decreased",-1,"Higher intermediation = looser",-1,-1,FALSE,TRUE,TRUE,"No issue"
"Liquidez",0.344133775439994,0.397989277365658,0.0538555019256635,15.6495833217202,FALSE,"Increased",-1,"Higher liquidity = looser",1,1,FALSE,FALSE,FALSE,"Both periods: unexpected sign"
"VIX",0.0914905620098189,0.0397592465132432,0.0517313154965756,-56.542789070444,FALSE,"Decreased",1,"Higher volatility = tighter",1,1,FALSE,TRUE,TRUE,"No issue"
"Spread_mercado_TPM",-0.280119238648403,-0.304383047962887,0.0242638093144839,-8.66195746909733,FALSE,"Decreased",1,"Higher market spread = tighter",-1,-1,FALSE,FALSE,FALSE,"Both periods: unexpected sign"
"Rentabilidad",0.240446909574269,0.25449271985815,0.0140458102838817,5.84154327820264,FALSE,"Increased",-1,"Higher profitability = looser",1,1,FALSE,FALSE,FALSE,"Both periods: unexpected sign"
