"variable","postit_loading","fullsample_loading","sign_consistent","postit_var_explained_pct","external_share_r2","fci_fullsample_corr","n_methods_COMP","methods_converged_COMP","n_obs_postit"
"TPM",0.191530860168332,0.589349379507019,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"Spread_activas_pasivas",-0.632276794231893,0.690572253821986,FALSE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"Spread_mercado_TPM",-0.687403718241686,-0.545170179537117,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"Crecimiento_creditos",0.27586770072402,0.639956285922815,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"Ratio_Cred_Depo",-0.839419094993572,-0.0763740624657819,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"Morosidad",0.462958618126045,0.835985661490357,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"Rentabilidad",0.574733852843416,0.410511805548868,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"Liquidez",0.898799426947168,0.152581957806372,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"TCN",0.92366970625052,0.489253712811947,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"Commodities",-0.660534748856438,0.347786252657777,FALSE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"FFER",0.872017797370262,0.15666208777189,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
"VIX",0.0897903285698867,0.033246354876561,TRUE,42.5012384035413,0.260924256789527,0.859799547468567,4,"ZSCORE,PCA,VAR,DFM",176
