"FCI_COMP","Credit_yoy","IMAEP_yoy","horizon","output_var"
0.00160435185666163,0.00226700669365003,0.996128641449688,0,"IMAEP"
0.0108848414760097,0.00232000216830438,0.986795156355686,1,"IMAEP"
0.0158837529469059,0.00210209420027223,0.982014152852822,2,"IMAEP"
0.0190854346236015,0.00197210181011301,0.978942463566285,3,"IMAEP"
0.0213450532256341,0.00190251302136105,0.976752433753005,4,"IMAEP"
0.0230579477733318,0.00187606584878134,0.975065986377887,5,"IMAEP"
0.024415308713438,0.00188254104334949,0.973702150243212,6,"IMAEP"
0.0255231805356028,0.00191490061886749,0.97256191884553,7,"IMAEP"
0.0264469614978035,0.00196771374720767,0.971585324754989,8,"IMAEP"
0.0272300336446805,0.00203659373531546,0.970733372620004,9,"IMAEP"
0.0279024998690121,0.0021179528455296,0.969979547285458,10,"IMAEP"
0.0284858526705303,0.00220885053024252,0.969305296799227,11,"IMAEP"
0.0289957625667578,0.00230687404819099,0.968697363385051,12,"IMAEP"
0.0294438772256168,0.00241003795100801,0.968146084823375,13,"IMAEP"
0.0298390350036242,0.00251670026488103,0.967644264731495,14,"IMAEP"
0.0301881011400833,0.00262549448246997,0.967186404377447,15,"IMAEP"
0.0304965483847186,0.00273527578717314,0.966768175828108,16,"IMAEP"
0.0307688603127593,0.00284507935342466,0.966386060333816,17,"IMAEP"
0.03100881053949,0.00295408841785513,0.966037101042655,18,"IMAEP"
0.0312196550336988,0.00306160997599345,0.965718734990308,19,"IMAEP"
0.0314042638065345,0.00316705626782087,0.965428679925645,20,"IMAEP"
0.0315652105616778,0.00326993056278205,0.96516485887554,21,"IMAEP"
0.031704833414046,0.00336981608139782,0.964925350504556,22,"IMAEP"
0.0318252758751236,0.0034663671710657,0.964708356953811,23,"IMAEP"
